B,G,R
163,165,203
174,174,212
143,147,193
136,136,180
163,163,201
92,96,122
161,160,200
171,168,208
154,159,202
123,128,165
147,145,194
142,143,191
165,161,210
167,163,212
143,144,192
183,184,219
158,164,210
118,123,160
174,179,216
164,162,211
158,159,201
147,153,200
94,100,133
145,150,193
144,150,197
143,143,194
144,149,186
47,52,74
151,148,180
146,152,199
128,131,166
151,157,196
177,177,215
178,180,218
142,148,195
167,164,211
142,142,193
151,151,202
158,156,205
175,179,218
47,47,64
168,166,209
161,163,207
139,144,186
56,64,97
140,147,190
172,174,218
130,132,170
143,151,192
184,179,218
164,169,212
139,144,187
116,117,151
146,144,193
122,127,164
135,138,180
167,164,211
65,61,74
186,184,220
171,165,206
135,141,180
38,41,62
135,143,184
127,135,176
136,137,179
143,147,193
151,152,200
36,41,50
151,152,192
165,163,212
136,142,188
169,167,211
153,156,204
147,147,191
130,131,171
143,144,192
153,155,206
114,118,157
49,58,88
178,180,218
167,169,213
168,167,214
102,106,137
169,166,205
169,163,211
50,54,72
150,153,201
160,158,207
87,90,132
142,147,190
137,137,181
162,163,211
59,67,93
142,148,195
125,127,165
151,155,201
164,164,208
169,168,215
116,117,151
181,178,218
146,148,199
137,142,184
135,140,182
154,155,203
180,182,220
128,128,172
161,158,192
161,167,213
139,138,185
95,100,142
145,154,192
162,165,213
167,166,206
169,171,217
144,146,190
180,180,218
153,156,211
129,129,173
151,152,200
145,149,195
169,167,211
142,147,190
168,165,212
152,154,192
152,155,210
168,169,217
152,150,199
156,155,202
124,129,172
151,149,200
153,152,205
129,130,170
132,133,173
95,99,132
146,149,197
140,146,193
135,145,186
135,139,178
149,151,197
164,166,210
156,156,207
162,165,207
87,94,118
119,127,160
154,151,204
166,166,204
155,160,203
126,130,163
162,164,202
158,162,208
135,136,176
140,145,188
147,148,188
90,92,123
140,142,180
153,153,197
156,157,197
146,147,181
97,105,139
145,143,192
47,50,58
147,152,195
167,163,212
150,149,202
168,163,208
153,149,205
130,134,167
162,161,195
160,162,206
144,151,201
138,145,188
142,140,189
143,145,196
139,141,185
144,145,185
163,161,205
136,138,182
137,137,181
167,164,204
139,144,179
85,93,126
145,151,198
145,151,198
123,126,161
176,178,216
156,159,207
138,146,187
152,157,200
136,145,188
143,150,200
146,152,199
142,148,187
139,139,177
165,165,209
154,156,194
142,146,185
180,181,221
171,174,216
155,156,191
178,177,217
129,131,169
138,144,191
117,119,157
64,70,96
129,132,174
157,157,208
140,149,187
134,138,177
150,155,192
141,146,189
139,143,189
121,126,163
139,146,183
161,162,210
139,141,185
162,165,213
124,128,167
153,158,200
169,171,215
128,129,169
169,166,206
136,137,179
149,155,202
148,151,199
136,141,183
128,128,172
147,145,194
84,95,120
141,147,193
162,163,211
151,149,198
92,95,116
150,151,199
182,182,220
153,154,194
158,163,213
158,163,206
158,153,198
165,164,198
181,183,221
167,169,215
171,172,214
164,166,212
165,166,208
165,165,196
44,55,87
157,160,208
151,156,206
165,162,196
145,150,187
118,123,160
170,172,216
159,161,207
145,151,198
149,153,199
129,134,176
177,179,217
149,150,198
161,161,199
71,84,122
165,164,211
130,130,174
161,166,209
147,154,197
130,136,182
158,160,204
55,57,75
138,140,184
129,131,175
126,128,166
143,148,191
156,162,208
139,141,187
167,165,209
154,152,203
163,162,202
169,168,215
140,145,188
149,152,200
172,170,213
169,167,211
155,158,206
171,169,213
110,113,142
147,152,202
131,135,174
160,165,208
167,172,215
142,147,182
149,155,201
130,139,177
168,166,210
144,148,181
145,148,196
102,106,137
144,147,195
143,145,191
112,113,147
163,170,213
155,157,195
139,147,194
124,129,166
146,145,198
154,155,203
144,147,195
148,153,203
139,139,183
90,96,116
149,154,197
164,165,199
145,149,195
156,154,205
136,143,186
128,127,174
145,151,198
144,149,192
162,162,200
142,144,190
180,182,220
130,136,175
157,161,200
163,162,209
167,172,215
167,161,209
91,99,127
126,132,171
173,167,208
143,142,189
132,138,171
130,135,172
163,163,194
151,151,202
139,143,176
166,168,212
145,146,194
152,152,203
158,162,195
143,149,195
155,152,205
123,125,163
55,58,74
152,159,202
176,174,217
142,142,186
156,156,200
133,139,172
162,165,213
79,85,111
174,174,218
94,100,112
149,154,197
153,154,202
144,143,196
154,159,209
99,103,136
179,176,215
149,155,202
163,161,210
155,151,200
155,156,211
139,141,185
165,165,209
188,181,218
135,135,179
149,148,201
171,168,215
38,41,62
137,139,185
151,159,200
168,160,208
163,165,211
143,148,191
165,170,213
111,117,143
159,164,214
121,128,165
77,76,95
138,146,193
145,144,191
149,155,202
137,144,187
37,39,44
138,140,171
163,161,197
163,166,208
154,159,209
129,127,163
176,178,216
166,173,216
139,139,183
169,171,215
147,152,202
83,83,106
156,158,210
162,164,208
49,55,75
136,144,191
46,48,60
61,60,73
179,180,220
167,163,212
133,137,176
140,143,191
181,183,221
155,160,203
147,148,196
152,157,207
160,158,194
110,114,147
137,137,181
47,51,69
160,161,209
140,145,188
160,157,204
165,163,207
152,152,203
173,176,218
140,147,190
138,136,180
50,58,86
148,150,196
141,145,191
156,154,203
167,165,209
98,99,133
143,147,180
139,141,185
166,165,212
137,142,184
143,149,195
131,132,172
168,170,214
148,153,188
154,154,205
162,159,193
135,136,178
163,160,192
162,158,207
129,131,169
139,141,185
166,171,214
143,146,188
137,139,170
136,138,182
165,165,209
159,156,203
136,134,183
52,51,64
144,149,199
147,153,200
171,173,217
142,143,191
155,156,211
156,161,204
146,144,195
138,140,184
137,144,187
139,140,174
156,158,202
91,102,140
99,107,140
156,160,206
139,141,187
162,166,212
144,152,193
175,174,214
152,154,198
135,137,181
90,91,125
161,166,209
154,160,207
142,145,193
172,174,218
145,149,188
135,137,175
169,169,213
158,159,207
160,164,210
135,137,181
118,123,160
180,182,220
157,161,207
180,180,218
143,141,190
169,174,216
137,142,185
154,155,203
149,153,186
146,151,194
139,141,185
163,166,208
151,152,192
154,153,206
147,152,202
141,142,190
140,142,180
139,146,196
171,174,216
145,148,190
148,154,193
144,149,192
168,168,212
121,124,159
100,102,140
147,155,202
130,138,179
163,161,212
155,154,207
126,123,163
140,143,191
127,131,170
120,125,162
166,165,199
146,146,197
145,150,187
151,153,191
147,153,200
126,128,166
54,55,69
134,141,184
138,143,186
162,160,196
151,154,202
130,135,177
167,169,213
118,123,158
151,154,196
137,139,177
172,175,217
142,148,194
90,94,127
131,132,174
141,148,191
168,169,217
169,167,211
133,142,180
134,135,177
168,170,214
148,149,189
163,161,204
142,148,187
179,178,218
141,144,186
144,149,191
122,124,162
110,114,147
151,149,200
164,163,203
185,185,223
134,140,173
169,163,211
163,165,203
181,182,222
114,119,162
140,143,191
148,153,196
148,155,198
147,154,191
139,142,184
163,161,210
131,128,168
159,164,201
118,126,154
162,164,202
162,158,207
167,172,215
141,147,193
145,151,198
153,156,204
95,98,133
51,55,73
164,169,212
157,152,197
165,163,212
91,97,117
