B,G,R
156,150,191
101,99,122
152,151,178
151,152,179
139,133,161
150,138,174
153,150,182
127,130,144
112,117,146
154,152,182
192,176,218
130,129,156
155,148,179
119,119,144
189,173,215
154,147,184
139,137,173
117,102,157
140,138,168
130,132,136
128,131,147
149,147,177
133,135,147
162,154,195
130,129,148
148,146,169
138,139,166
131,124,155
94,91,125
119,118,137
142,145,174
120,120,145
129,132,154
141,138,172
141,145,170
130,127,166
145,144,171
139,136,170
133,135,153
137,131,159
131,133,151
129,128,155
136,135,156
128,128,159
155,153,183
153,148,187
153,151,181
129,128,147
148,143,182
136,136,159
86,83,123
147,140,172
130,132,137
146,138,173
134,132,155
116,113,139
91,84,116
128,122,150
154,146,187
88,91,126
142,139,171
148,142,177
129,128,141
137,137,162
131,128,138
114,106,130
152,150,180
130,133,134
130,133,141
49,48,69
143,139,169
150,146,176
136,136,159
137,139,157
151,150,184
159,154,186
151,145,173
143,137,165
151,147,177
164,161,193
152,153,188
133,130,164
125,129,147
131,133,145
84,82,112
159,152,189
134,133,160
139,138,159
129,127,163
143,140,166
164,157,189
123,108,133
151,147,177
122,122,147
125,115,156
144,143,170
124,120,150
141,141,94
160,154,189
157,153,189
132,135,151
142,143,170
150,147,181
135,133,156
147,143,179
95,90,116
154,154,185
137,134,153
153,147,182
139,140,161
102,101,135
132,133,160
142,138,160
137,136,155
152,151,185
151,150,184
163,155,190
155,149,184
130,132,150
160,153,190
183,171,208
157,149,184
129,131,135
108,91,153
141,146,175
136,139,161
121,123,133
138,136,166
99,95,117
162,157,189
139,135,163
143,139,167
139,137,160
94,94,124
141,138,177
116,112,142
143,134,171
142,141,168
127,128,142
150,151,186
146,142,172
145,144,184
137,139,164
139,134,166
123,120,154
163,158,190
160,157,191
143,143,173
152,150,180
152,150,180
140,142,167
134,128,156
157,152,191
162,151,184
163,155,190
105,94,121
137,140,162
137,127,151
137,136,127
154,144,185
130,130,161
136,136,166
129,129,146
93,84,112
141,140,167
156,151,183
138,137,171
150,146,176
118,118,149
152,150,180
135,132,151
158,152,187
160,152,187
134,125,153
155,147,182
142,140,163
156,148,183
136,133,152
136,135,156
159,153,188
96,89,111
75,72,98
158,155,189
155,148,185
175,163,209
154,153,187
120,121,135
89,92,121
58,55,64
135,134,155
131,131,132
165,153,189
127,121,156
137,139,164
184,174,215
138,134,156
152,145,177
163,160,199
143,139,169
142,139,171
159,156,190
131,123,147
129,132,154
166,161,193
107,102,141
131,127,149
138,134,164
151,148,174
129,131,143
135,129,147
159,153,188
149,142,181
156,154,184
134,125,162
159,149,189
142,141,168
144,142,172
150,146,176
146,137,165
141,137,173
146,139,171
148,145,184
131,136,158
126,121,136
126,130,148
155,154,188
154,149,181
158,155,187
140,136,159
121,123,141
113,104,132
105,95,135
149,147,170
152,142,182
162,153,181
157,150,181
57,60,89
155,153,183
137,137,160
145,138,169
164,157,188
146,133,173
132,130,147
149,140,177
94,93,120
136,135,98
166,163,197
160,156,184
158,155,189
123,119,142
160,161,195
131,132,153
105,107,138
137,138,165
151,148,174
137,134,153
148,144,174
143,140,180
148,145,177
143,146,175
87,90,125
132,133,154
125,125,142
148,147,174
141,137,159
149,144,176
147,148,182
142,145,174
127,129,134
147,142,181
91,91,116
141,135,163
142,138,161
135,134,161
159,156,188
142,139,165
147,142,174
141,141,171
128,133,155
124,103,167
129,129,139
145,140,166
145,145,183
127,125,155
141,138,164
154,147,179
133,134,125
136,136,161
131,133,151
163,157,192
137,138,109
145,142,176
156,151,190
114,109,135
144,144,174
124,124,141
146,143,175
139,139,169
118,121,150
92,93,127
145,141,169
150,150,181
151,147,177
118,113,145
132,133,160
129,130,157
148,147,174
168,161,198
114,96,151
128,127,141
95,97,128
140,136,164
163,152,185
148,140,164
130,133,154
151,145,180
144,140,176
153,150,184
157,157,187
150,138,169
132,130,136
129,132,140
135,134,153
139,136,170
144,138,173
152,146,181
112,95,140
135,133,163
95,101,108
100,90,131
139,134,166
154,150,180
149,144,176
85,88,117
160,151,195
144,144,182
152,151,185
136,136,69
131,128,137
155,148,187
116,113,145
151,147,177
148,149,176
84,81,113
128,126,132
106,104,134
124,125,139
141,135,163
121,111,157
159,156,190
164,158,193
100,93,132
133,128,167
155,147,182
146,139,170
129,129,154
155,152,186
81,84,119
167,163,199
155,149,177
156,156,186
150,146,176
136,137,158
89,86,120
128,129,150
110,112,124
154,145,173
161,151,182
144,137,176
156,149,188
131,131,148
164,152,188
116,110,145
147,143,165
145,146,173
160,156,192
148,147,181
151,148,182
152,150,180
156,152,188
146,142,170
166,151,197
154,150,186
131,130,157
152,152,183
150,150,181
93,86,118
144,138,173
163,156,188
147,142,174
110,100,131
153,147,182
153,153,183
147,146,173
137,137,160
153,150,182
83,83,108
124,126,136
133,135,117
149,142,173
138,138,161
111,110,124
132,132,162
145,142,176
134,128,156
157,153,183
138,138,168
143,139,162
167,157,197
143,132,159
108,109,144
134,135,85
59,52,91
127,124,158
163,160,192
138,135,169
137,130,161
117,119,150
146,141,173
155,154,181
123,126,142
134,136,148
128,132,163
159,152,183
108,103,129
126,115,142
193,179,221
146,142,165
119,122,151
144,144,174
145,149,182
109,106,138
147,144,170
143,144,178
146,146,176
111,104,141
159,159,190
132,132,155
150,145,184
143,130,170
112,105,142
141,131,162
88,87,121
162,158,186
161,159,189
72,71,98
144,137,168
149,146,185
157,151,186
124,127,143
75,75,106
84,74,135
153,149,185
150,143,175
103,102,142
142,135,172
148,139,183
151,145,180
144,141,175
157,156,190
151,147,177
170,159,203
146,139,176
148,140,175
163,162,196
126,130,129
136,133,152
112,103,147
146,143,182
183,173,214
114,114,145
140,137,169
161,160,194
140,138,161
150,138,174
135,132,164
149,149,187
155,148,180
126,112,154
136,135,154
141,139,162
135,130,162
129,128,132
131,131,156
106,104,140
147,147,177
158,155,187
135,130,156
130,131,145
116,118,130
157,150,182
154,145,173
140,141,168
152,149,188
156,152,182
132,126,144
134,134,159
115,105,145
152,148,176
147,140,171
155,151,181
124,119,134
148,145,171
168,161,200
153,148,180
140,141,162
149,147,170
126,131,153
154,153,187
71,64,86
135,134,155
130,130,155
127,125,142
62,68,94
156,149,181
164,158,193
149,151,182
109,112,141
150,144,185
129,123,151
130,136,162
98,95,127
137,135,152
139,139,164
142,135,166
114,113,134
133,132,151
155,145,176
155,148,185
135,132,166
132,130,147
127,129,141
156,149,181
155,150,182
132,126,169
148,148,179
157,150,182
156,152,182
128,125,151
145,136,173
135,134,153
142,136,171
165,162,194
131,134,150
120,123,139
116,112,142
89,84,116
113,106,137
116,115,134
158,157,191
159,151,186
75,71,84
144,137,176
160,155,194
152,146,187
146,140,175
136,134,157
157,154,188
149,141,176
150,142,177
136,136,153
121,118,157
67,66,93
115,110,136
110,104,145
158,149,186
121,125,150
129,124,156
158,152,193
155,149,184
143,141,164
110,106,142
156,153,187
164,160,190
76,69,91
139,140,167
147,146,173
174,167,206
155,148,180
127,121,156
136,131,163
143,141,171
127,129,147
136,139,168
149,145,175
132,135,157
138,138,161
95,86,130
113,109,132
132,117,163
127,129,147
167,163,199
151,149,185
98,102,114
147,149,180
130,117,167
119,117,134
94,91,125
161,155,190
143,140,172
147,149,180
144,145,172
139,140,167
167,159,194
146,142,178
143,138,170
167,157,203
136,134,157
139,142,164
138,134,170
113,106,143
127,126,153
67,58,86
111,111,141
152,148,184
142,139,165
80,75,90
163,163,194
149,146,172
153,152,186
155,151,187
158,155,189
152,148,176
102,102,133
135,137,162
139,142,171
145,145,170
155,150,182
186,170,212
149,147,170
156,149,186
137,138,165
156,151,183
126,117,144
161,159,195
152,151,185
103,101,131
168,161,193
127,131,149
149,145,173
