win_idx,t_start,t_end,t_center,n_frames,lag_sec,lag_frames
0,1.0,9.0,5.0,238,0.6721476724567932,20.0
1,2.0,10.0,6.0,238,0.03360738362283966,1.0
2,3.0,11.0,7.0,238,0.03360738362283966,1.0
3,4.0,12.0,8.0,238,0.6385402888339535,19.0
4,5.0,13.0,9.0,238,0.06721476724567932,2.0
5,6.0,14.0,10.0,238,0.06721476724567932,2.0
6,7.0,15.0,11.0,238,0.10082215086851898,3.0
7,8.0,16.0,12.0,238,0.10082215086851898,3.0
8,9.0,17.0,13.0,238,0.10082215086851898,3.0
9,10.0,18.0,14.0,238,0.1344295344913586,4.0
10,11.0,19.0,15.0,238,0.1344295344913586,4.0
11,12.0,20.0,16.0,238,-0.10082215086851898,-3.0
12,13.0,21.0,17.0,238,0.13442953449135864,4.0
13,14.0,22.0,18.0,238,0.1344295344913586,4.0
14,15.0,23.0,19.0,238,-0.47050337071975534,-14.0
15,16.0,24.0,20.0,238,-0.4368959870969157,-13.0
16,17.0,25.0,21.0,238,-0.43689598709691546,-13.0
17,18.0,26.0,22.0,238,-0.4368959870969157,-13.0
18,19.0,27.0,23.0,238,0.16803691811419832,4.999999999999999
19,20.0,28.0,24.0,238,0.16803691811419827,5.0
20,21.0,29.0,25.0,238,0.1344295344913586,4.0
21,22.0,30.0,26.0,238,-1.00822150868519,-30.0
22,23.0,31.0,27.0,238,0.1344295344913586,4.0
23,24.0,32.0,28.0,238,-0.2016443017370379,-6.0
24,25.0,33.0,29.0,238,-0.23525168535987756,-7.0
25,26.0,34.0,30.0,238,1.6467617975191429,49.0
26,27.0,35.0,31.0,238,0.5377181379654347,16.0
27,28.0,36.0,32.0,238,0.5713255215882743,17.0
28,29.0,37.0,33.0,238,0.33607383622839654,10.0
29,30.0,38.0,34.0,238,0.0,0.0
30,31.0,39.0,35.0,238,0.0,0.0
31,32.0,40.0,36.0,238,0.0,0.0
32,33.0,41.0,37.0,238,0.0,0.0
33,34.0,42.0,38.0,238,0.033607383622839666,1.0
34,35.0,43.0,39.0,238,0.033607383622839666,1.0
35,36.0,44.0,40.0,238,0.033607383622839666,1.0
36,37.0,45.0,41.0,238,0.033607383622839666,1.0
37,38.0,46.0,42.0,238,0.06721476724567933,2.0
38,39.0,47.0,43.0,238,0.06721476724567933,2.0
39,40.0,48.0,44.0,238,0.06721476724567933,2.0
40,41.0,49.0,45.0,239,0.0672147672456793,2.0
41,42.0,50.0,46.0,238,0.06721476724567933,2.0
42,43.0,51.0,47.0,238,-0.5377181379654347,-16.0
43,44.0,52.0,48.0,238,0.06721476724567933,2.0
44,45.0,53.0,49.0,239,0.0672147672456793,2.0
45,46.0,54.0,50.0,238,-0.13442953449135867,-4.0
46,47.0,55.0,51.0,238,-0.13442953449135867,-4.0
47,48.0,56.0,52.0,238,-0.13442953449135867,-4.0
48,49.0,57.0,53.0,238,-0.100822150868519,-3.0
49,50.0,58.0,54.0,238,-0.100822150868519,-3.0
50,51.0,59.0,55.0,238,-0.100822150868519,-3.0
51,52.0,60.0,56.0,238,-1.3442953449135866,-39.99999999999999
52,53.0,61.0,57.0,238,-1.9828356337475386,-58.99999999999999
53,54.0,62.0,58.0,238,1.0418288923080297,31.0
54,55.0,63.0,59.0,238,1.0754362759308693,32.0
55,56.0,64.0,60.0,238,1.6803691811419834,50.0
56,57.0,65.0,61.0,238,1.7139765647648215,50.99999999999999
57,58.0,66.0,62.0,238,0.5377181379654352,16.0
58,59.0,67.0,63.0,238,-0.06721476724567933,-2.0
